* 2e16ad52b	(2026-09-09 22:08:11 +0800) 更新soc驱动
* 68297db93	(2026-09-09 22:00:48 +0800) sdb接会完成
* 51b0f67c2	(2026-09-09 13:34:23 +0800) 疏解了device,计划进一步简化驱动cpp来提高通用性并接入sdb
* 349c068ae	(2026-09-08 23:04:54 +0800) 继续精简，SDB现在属于是完全断线的状态
* bca3b78a8	(2026-09-08 21:44:41 +0800) 移除npc-sv myc PA报告 E4 等过时内容，将nvbroad和yosys移出
* a21230599	(2026-09-08 15:42:13 +0800) 精简检查difftest
* 5dbeac8e9	(2026-09-08 13:13:43 +0800) 合并了NPC，iverilog，netlist的驱动
* 285056478	(2026-09-07 23:02:04 +0800) 大规模重命名，还剩下netlist的整合
* 41d1b6ec9	(2026-09-07 21:20:00 +0800) 网表起始地址统一为30000000
* dc7988851	(2026-09-07 10:07:19 +0800) > generate verilog ysyx_26020046 Bi RuiDe Linux LAPTOP-3IAF75LK 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux  10:07:19 up  1:36,  1 user,  load average: 0.10, 0.10, 0.08
* 4cfbca5f9	(2026-09-07 10:07:07 +0800) veriolog生成目标
* 6bcbe1735	(2026-09-06 21:50:31 +0800) 1005.501
* a4a3414b8	(2026-09-06 18:36:30 +0800) 993.963,出现一个BUG：修改顺序会提升频率但是会导致网表错误
* fbf555ea1	(2026-09-05 22:52:05 +0800) 爆改流水线寄存器，但是网表又有问题了
* bcf2f755d	(2026-09-05 21:27:17 +0800) 网表仿真通过，发现部分复位bug等待修复
* fd72951f5	(2026-09-05 11:36:32 +0800) 连接件完成，但是网表仿真未通过
* 1016fe4e5	(2026-09-04 23:00:18 +0800) 打造netlist的连接件ing，wbu去掉了两个sr的复位等待测试。
* e06becbe4	(2026-09-04 15:58:20 +0800) 修正exu的csr前递错误
* 237ca7255	(2026-09-04 14:18:12 +0800) 1039.295
* 3d9dc841e	(2026-09-04 13:41:08 +0800) 1031.015
* 8dd085450	(2026-09-03 22:09:22 +0800) IDU精简也可以得到不错的性能
* 276cf3854	(2026-09-02 22:57:58 +0800) 变慢原因是频率太快了。决定痛下杀手彻底重构。先实现了WBU的mstatus
* ea52a9ac0	(2026-09-01 22:51:48 +0800) 越来越慢了
* 72e9571e1	(2026-09-01 19:52:19 +0800) 1073.621
* 833b5f27b	(2026-09-01 15:21:20 +0800) 1073.621
* 495d7dfc5	(2026-09-01 12:59:56 +0800) 修正IFU异常处理，1025.049
* c1557af15	(2026-09-01 10:52:18 +0800) 简化 1035.586
* 7178a888c	(2026-08-31 20:56:29 +0800) 1054校准
* 8a54ebcbd	(2026-08-31 20:23:25 +0800) 1054.346
* 457e1e991	(2026-08-31 13:30:00 +0800) 更多best 1033
* 166c43ea3	(2026-08-31 09:42:47 +0800) 标记了几个best
* d4f75d370	(2026-08-31 09:03:32 +0800) 修正 这才是1033
* 84bb9059b	(2026-08-31 08:33:49 +0800) 穷举idu RES得到1033
* 28f187b8a	(2026-08-30 15:42:01 +0800) 修复csr
* f532bd5a2	(2026-08-28 22:04:06 +0800) 1048校准
* 7ebd5d283	(2026-08-28 21:41:41 +0800) 1048.859
* 39bdda612	(2026-08-28 21:20:15 +0800) 纠正是1005
* cbdb4dd86	(2026-08-28 21:19:18 +0800) 10005,改不动了，前面的几个不能用因为有潜在BUG:冲刷的残留会影响前递
* a2104f0fa	(2026-08-28 15:34:25 +0800) 1092
* 61826a8ba	(2026-08-28 13:54:34 +0800) 1075
* 83ec77cea	(2026-08-28 12:30:11 +0800) 1056，后续打算改改独热看看
* f6146bbbb	(2026-08-28 11:21:00 +0800) 6级流水线，频率进一步提升，有望突破1G
* 8b676bfe2	(2026-08-27 22:31:42 +0800) 把冗余的lui和csr的exu通道合并
* b965eaeda	(2026-08-27 19:47:05 +0800) 修正了不支持csr的问题
* 3cbc4c24c	(2026-08-27 08:58:35 +0800) 900Mhz校准
* b375fc09f	(2026-08-27 07:33:31 +0800) 通过去除不必要的Input2在跳转里，提高频率到900MHZ
* 75d590471	(2026-08-26 22:57:14 +0800) 合并逻辑，频率小改善
* bbbbe0ed3	(2026-08-26 22:26:56 +0800) 修改BP，提高预测器和ich的命中率，效果不错
* 31d0363d1	(2026-08-26 18:29:43 +0800) 进一步分析bpu，提供实现参考
* 11fada631	(2026-08-26 15:24:06 +0800) 测试发现不替换也可以
* 505391898	(2026-08-26 14:30:38 +0800) 最优解:Br，jalr，jal分开存放，规格是4 1 2
* 23608841b	(2026-08-25 21:52:19 +0800) 目前最优解:br+jalr，jal立即计算
* 1b1a5f3c7	(2026-08-25 21:36:56 +0800) 修改ifusim，提供基准，但是我发现事实上only jump是更好的
* fe327358a	(2026-08-24 22:59:27 +0800) 准备优化IFU，尝试一下6级
* 59fc09ebf	(2026-08-24 16:34:21 +0800) netlist需要重写顶层接口
* e96abc6ff	(2026-08-24 14:44:39 +0800) 察觉问题是非ysyxsoc没有正确处理UART，还是会尝试去读
* 0ed6bf9e0	(2026-08-24 11:21:13 +0800) microbench通过
* 76a09e001	(2026-08-24 08:44:57 +0800) 修正bss未写入的问题
* 8901c3f86	(2026-08-20 21:54:36 +0800) 基本接入iverilog成功，目前卡在crc32，有x进入了系统
* 456d9fa0b	(2026-08-19 14:56:45 +0800) 修正了部分缺失的值
* 72799a0e1	(2026-08-18 11:34:41 +0800) 这就是目前的最优解了
* 0d1e3731d	(2026-08-18 07:20:27 +0800) 校准完成
* 45d1516a4	(2026-08-17 22:05:53 +0800) jal独立成功
* 431f028f6	(2026-08-17 18:09:24 +0800) 修正immePC取值错误导致的命中率极差
* e36666f77	(2026-08-17 17:40:35 +0800) 就这样吧，没办法了
* aa83c0116	(2026-08-17 17:09:50 +0800) 改成PC引索，最重要的是把addr的复位取消了
* 39d0b44ee	(2026-08-17 16:43:55 +0800) WBu两个CSR改成硬链接
* 9caea9de3	(2026-08-17 16:03:54 +0800) 尽力了，改CLT结果却还是负优化
* 69094694d	(2026-08-17 09:10:19 +0800) 优化不动了
* 16b52380f	(2026-08-16 22:07:41 +0800) idu真的改不动了
* 7863fc016	(2026-08-16 21:03:41 +0800) 修正jalr由于br导致的死循环，但是面积过大，目前是IDU优化极限
* aeae24efb	(2026-08-16 11:39:40 +0800) 修正e对于中断的错误支持
* 44fc49cee	(2026-08-16 08:26:25 +0800) 超频看看
* 78514a49f	(2026-08-16 08:12:18 +0800) 暂停校准
* db9f065a1	(2026-08-16 07:26:41 +0800) 提出把jal也暂停
* 49f6a4e25	(2026-08-15 19:49:45 +0800) 尝试降频到700.77MHZ
* 5aeb5f709	(2026-08-15 19:01:19 +0800) 校准完成
* 03d436b04	(2026-08-15 18:56:04 +0800) 提高分支预测器的命中率
* 298ddf547	(2026-08-15 13:05:24 +0800) 修bug，把make的git精简一下
* ba390bc6b	(2026-08-15 13:02:48 +0800) 根据ifusim尝试改进分支预测器
* 93052cd5a	(2026-08-15 08:45:27 +0800) 发现一个优化点
* e5619a9b0	(2026-08-15 07:58:17 +0800) ifusim已经科技精准复现
