
25. Printing statistics.

=== testCase ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
      908        - wires
      908        - wire bits
      908        - public wires
      908        - public wire bits
      548        - ports
      548        - port bits
      392   895.44 cells
        1     1.96   AND3X1P4H7L
        4     7.84   AOAI211X0P5H7L
       21    52.92   AOAI211X2H7L
        3     12.6   AOAI211X4H7L
        4      5.6   AOI21X0P5H7L
       26    80.08   AOI222X0P5H7L
        1     3.08   AOI222X1H7L
        4     7.84   AOI22X0P5H7L
        4    10.08   AOI2BB2X0P5H7L
        2     4.48   AOI32X0P5H7L
        4    14.56   BUFX10H7L
        3    15.12   BUFX16H7L
        4     7.84   BUFX5H7L
        1     2.52   BUFX6H7L
        9    22.68   BUFX7H7L
       27    22.68   INVX0P5H7L
       89    249.2   MUX2X0P5H7L
        1      2.8   MUX2X1P4H7L
        2     7.28   MUX2X3H7L
        5     15.4   MUXI2X0P5H7L
       27     37.8   NAND2BX0P5H7L
        1      9.8   NAND2BX16H7L
        1      1.4   NAND2BX1P4H7L
       43    84.28   NAND3BX0P5H7L
        1     4.48   NAND3BX6H7L
       31    69.44   NAND4BX1P4H7L
        1     1.96   NAND4X0P5H7L
       29     40.6   NOR2BX1H7L
        2     2.24   NOR2X0P5H7L
        1     1.96   NOR3BX0P5H7L
        1     1.96   NOR3BX1P4H7L
        1     5.32   NOR3BX4H7L
        1     4.76   NOR3BX6H7L
        1      1.4   NOR3X1P4H7L
        1     2.24   NOR4BX0P5H7L
        1     5.04   NOR4BX4H7L
        1     2.52   NOR4X2H7L
        4     7.84   OAI2BB1X0P5H7L
       27    60.48   OAOI211X0P5H7L
        1      1.4   OR2X0P5H7L
        1     1.96   OR3X1H7L

   Chip area for module '\testCase': 895.440000
     of which used for sequential elements: 0.000000 (0.00%)

