
25. Printing statistics.

=== ysyx_26020046_rv32iLSU ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
      881        - wires
      881        - wire bits
      881        - public wires
      881        - public wire bits
      625        - ports
      625        - port bits
      355  504.336 cells
      103  109.592   AND2_X1
        2     2.66   AND3_X1
        1     1.33   AOI211_X1
        2    2.128   AOI21_X1
        2    3.724   AOI21_X2
        1    1.596   AOI221_X1
        1    2.128   AOI222_X1
       24    31.92   AOI22_X1
        1    4.522   AOI22_X4
        1    0.798   BUF_X1
        1     6.65   BUF_X16
        5     5.32   BUF_X2
        3    5.586   BUF_X4
        1    3.458   BUF_X8
        2    6.916   CLKGATE_X1
       38  171.836   DFF_X1
       57   30.324   INV_X1
        1    1.862   MUX2_X1
       27   21.546   NAND2_X1
        1     1.33   NAND2_X2
        3    3.192   NAND3_X1
       36   28.728   NOR2_X1
        4     5.32   NOR2_X2
        2    2.128   NOR3_X1
        8    10.64   OAI211_X1
        1    2.394   OAI211_X2
        1    4.522   OAI211_X4
       18   19.152   OAI21_X1
        1    3.724   OAI222_X2
        1     1.33   OAI22_X1
        2    2.128   OR2_X1
        2     2.66   OR2_X2
        2    3.192   XNOR2_X1

   Chip area for module '\ysyx_26020046_rv32iLSU': 504.336000
     of which used for sequential elements: 171.836000 (34.07%)

