
25. Printing statistics.

=== ysyx_26020046_rv32iOneHotNsta ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
     7032        - wires
     7032        - wire bits
     7032        - public wires
     7032        - public wire bits
      169        - ports
      169        - port bits
     6963    20440 cells
       21    35.28   AND2X1H7L
        4     6.72   AND2X1P4H7L
        1     3.36   AND2X4H7L
        1      4.2   AND2X8H7L
       10     19.6   AND3X0P5H7L
        5      9.8   AND3X1H7L
       18    35.28   AND3X1P4H7L
        1     4.48   AND3X8H7L
       18    40.32   AND4X0P5H7L
        7    15.68   AND4X1P4H7L
        2     5.04   AO211X0P7H7L
        2     5.04   AO211X1H7L
       10     25.2   AO211X1P4H7L
       15     33.6   AO21X1H7L
        1     2.24   AO21X1P4H7L
        1     2.52   AO21X4H7L
        7    21.56   AO221X0P5H7L
        1     3.08   AO221X1H7L
        2     6.16   AO221X1P4H7L
        7    23.52   AO222X0P5H7L
        7    23.52   AO222X1P4H7L
       25       63   AO22X0P7H7L
        1     2.52   AO22X1P4H7L
        1     2.52   AO22X2H7L
        2     5.04   AO31X0P5H7L
        1     2.52   AO31X3H7L
        1     2.52   AOA211X0P5H7L
        4    10.08   AOA211X1H7L
       27    68.04   AOA211X1P4H7L
        2      5.6   AOA211X3H7L
       68   133.28   AOAI211X0P5H7L
        3     5.88   AOAI211X0P7H7L
        4     7.84   AOAI211X1H7L
       12    23.52   AOAI211X1P4H7L
        2     5.04   AOAI211X2H7L
        2     7.28   AOAI211X3H7L
        1      4.2   AOAI211X4H7L
       69   135.24   AOI211X0P5H7L
        5      9.8   AOI211X0P7H7L
        8    15.68   AOI211X1H7L
       23    45.08   AOI211X1P4H7L
        9    22.68   AOI211X2H7L
        4    13.44   AOI211X3H7L
        5       21   AOI211X4H7L
        1     6.44   AOI211X6H7L
        5     11.2   AOI21BX0P5H7L
        1     2.24   AOI21BX1P4H7L
        3     6.72   AOI21BX2H7L
      154    215.6   AOI21X0P5H7L
        7      9.8   AOI21X0P7H7L
        4      5.6   AOI21X1H7L
       40       56   AOI21X1P4H7L
        4     7.84   AOI21X2H7L
        6     16.8   AOI21X3H7L
       16    40.32   AOI221X0P5H7L
        5     12.6   AOI221X1H7L
        6    15.12   AOI221X1P4H7L
        4    12.32   AOI221X2H7L
        5     22.4   AOI221X3H7L
        4     22.4   AOI221X4H7L
        9    27.72   AOI222X0P5H7L
        1     3.08   AOI222X1H7L
        4    12.32   AOI222X1P4H7L
      120    235.2   AOI22X0P5H7L
        1     1.96   AOI22X1H7L
        9    17.64   AOI22X1P4H7L
        1     3.36   AOI22X3H7L
       21    41.16   AOI2BB1X0P5H7L
        2     3.92   AOI2BB1X0P7H7L
        2     3.92   AOI2BB1X1H7L
        3     5.88   AOI2BB1X1P4H7L
        1      2.8   AOI2BB1X3H7L
        6    15.12   AOI2BB2X0P5H7L
        8    20.16   AOI2BB2X1P4H7L
        1     3.64   AOI2BB2X3H7L
        2     4.48   AOI2XB1X0P5H7L
        2      8.4   AOI2XB1X4H7L
       21    41.16   AOI31X0P5H7L
        1     1.96   AOI31X0P7H7L
        3     5.88   AOI31X1H7L
        3     5.88   AOI31X1P4H7L
        1     3.64   AOI31X3H7L
       21    47.04   AOI32X0P5H7L
        1     2.24   AOI32X1H7L
        4     8.96   AOI32X1P4H7L
        2     9.52   AOI32X3H7L
        3     7.56   AOI33X0P5H7L
        3     7.56   AOI33X1P4H7L
        8     8.96   BUFX0P5H7L
        1     1.12   BUFX0P7H7L
       17    61.88   BUFX10H7L
       14    54.88   BUFX12H7L
       23   115.92   BUFX16H7L
        1     1.12   BUFX1H7L
       29    32.48   BUFX1P4H7L
       29   178.64   BUFX20H7L
        1      1.4   BUFX2P5H7L
       57     79.8   BUFX3H7L
       26    43.68   BUFX3P5H7L
       45     88.2   BUFX5H7L
       38    95.76   BUFX7H7L
        8     22.4   BUFX8H7L
     1313  8088.08   DFFQX1H7L
       43   264.88   ICGX0P5H7L
      104    87.36   INVX0P5H7L
        1     0.84   INVX0P7H7L
       34    28.56   INVX1P4H7L
        1      4.2   INVX20H7L
        3     3.36   INVX2P5H7L
        4      5.6   INVX5H7L
      229    641.2   MUX2X0P5H7L
        7     19.6   MUX2X0P7H7L
       16     44.8   MUX2X1P4H7L
        1     3.64   MUX2X3H7L
       74   476.56   MUX4X1H7L
      363  2337.72   MUX4X1P4H7L
        8       56   MUX4X3H7L
       21    64.68   MUXI2X0P5H7L
        4    12.32   MUXI2X1P4H7L
       52     72.8   NAND2BX0P5H7L
        4      5.6   NAND2BX0P7H7L
        1      1.4   NAND2BX1H7L
       13     18.2   NAND2BX1P4H7L
        1     3.64   NAND2BX6H7L
      391   437.92   NAND2X0P5H7L
        7     7.84   NAND2X0P7H7L
        7     7.84   NAND2X1H7L
       36    40.32   NAND2X1P4H7L
        5      9.8   NAND2X3H7L
        2     5.04   NAND3BBX0P5H7L
        1     2.52   NAND3BBX1P4H7L
        1     3.08   NAND3BBX6H7L
       11    21.56   NAND3BX0P5H7L
        1     1.96   NAND3BX0P7H7L
        1     1.96   NAND3BX1H7L
        3     5.88   NAND3BX1P4H7L
        2     3.92   NAND3BX2H7L
        1     3.64   NAND3BX4H7L
       90      126   NAND3X0P5H7L
        1      1.4   NAND3X0P7H7L
        3      4.2   NAND3X1H7L
       26     36.4   NAND3X1P4H7L
        6     16.8   NAND3X3H7L
        1      4.2   NAND3X6H7L
        2      5.6   NAND4BBX0P5H7L
        1     6.72   NAND4BBX6H7L
        4     8.96   NAND4BX0P5H7L
        2     4.48   NAND4BX1P4H7L
        3     7.56   NAND4BX2H7L
        1     4.48   NAND4BX4H7L
       35     68.6   NAND4X0P5H7L
        8    15.68   NAND4X1P4H7L
        5     11.2   NAND4X2H7L
        1     3.64   NAND4X3H7L
        1      4.2   NAND4X4H7L
      120      168   NOR2BX1H7L
       36     50.4   NOR2BX1P4H7L
        2     3.36   NOR2BX2H7L
        3     7.56   NOR2BX3H7L
      983  1100.96   NOR2X0P5H7L
        6     6.72   NOR2X0P7H7L
        7     7.84   NOR2X1H7L
      253   283.36   NOR2X1P4H7L
       17    33.32   NOR2X3H7L
       46   154.56   NOR2X6H7L
        1     3.92   NOR2X8H7L
        4     7.84   NOR3BX0P5H7L
        1     1.96   NOR3BX1H7L
        3     5.88   NOR3BX1P4H7L
        1     3.36   NOR3BX3H7L
       59     82.6   NOR3X0P5H7L
        4      5.6   NOR3X0P7H7L
        2      2.8   NOR3X1H7L
