
25. Printing statistics.

=== ysyx_26020046_rv32ioldALU ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
     1802        - wires
     1802        - wire bits
     1802        - public wires
     1802        - public wire bits
      268        - ports
      268        - port bits
     1599   2980.6 cells
        3     5.04   AND2X1H7L
        2     3.92   AND3X0P5H7L
        1     1.96   AND3X1H7L
        7    13.72   AND3X1P4H7L
        2     4.48   AND4X0P5H7L
        2     5.04   AO211X1H7L
        4    10.08   AO211X1P4H7L
        1      2.8   AO211X3H7L
        1     2.24   AO21X1H7L
        2     4.48   AO21X1P4H7L
        3     9.24   AO221X0P5H7L
        1     3.92   AO221X4H7L
        2     5.04   AO22X0P7H7L
        3     7.56   AO31X0P5H7L
        1     2.52   AO31X3H7L
        1     2.52   AOA211X0P5H7L
        4    10.08   AOA211X1P4H7L
        1      2.8   AOA211X3H7L
       61   119.56   AOAI211X0P5H7L
        4     7.84   AOAI211X1P4H7L
       30     58.8   AOI211X0P5H7L
        1     1.96   AOI211X1H7L
        5      9.8   AOI211X1P4H7L
        2      8.4   AOI211X4H7L
        6    13.44   AOI21BX0P5H7L
        1     3.08   AOI21BX4H7L
      137    191.8   AOI21X0P5H7L
        3      4.2   AOI21X0P7H7L
        5        7   AOI21X1P4H7L
        4     11.2   AOI21X3H7L
        5     12.6   AOI221X0P5H7L
        5     12.6   AOI221X1P4H7L
        2     6.16   AOI222X0P5H7L
       13    25.48   AOI22X0P5H7L
        1     1.96   AOI22X1H7L
        4     7.84   AOI22X1P4H7L
        1     3.36   AOI22X3H7L
       14    27.44   AOI2BB1X0P5H7L
        2     3.92   AOI2BB1X1P4H7L
        2     5.04   AOI2BB2X0P5H7L
        4     8.96   AOI2XB1X0P5H7L
       14    27.44   AOI31X0P5H7L
        1     1.96   AOI31X0P7H7L
        1     1.96   AOI31X1H7L
        2     3.92   AOI31X1P4H7L
        5     11.2   AOI32X0P5H7L
        1     5.32   AOI32X4H7L
        2     7.28   BUFX10H7L
        1     3.92   BUFX12H7L
        3    15.12   BUFX16H7L
        9    10.08   BUFX1P4H7L
        3    18.48   BUFX20H7L
       22     30.8   BUFX3H7L
        4     6.72   BUFX3P5H7L
        6    11.76   BUFX5H7L
        2     5.04   BUFX7H7L
       18    15.12   INVX0P5H7L
        2     1.68   INVX1P4H7L
       57    159.6   MUX2X0P5H7L
        1      2.8   MUX2X0P7H7L
       17     47.6   MUX2X1P4H7L
       13    47.32   MUX2X3H7L
        1     3.92   MUX2X4H7L
        9    70.56   MUX2X8H7L
        9    57.96   MUX4X1P4H7L
       14    43.12   MUXI2X0P5H7L
        5     15.4   MUXI2X1H7L
        9    27.72   MUXI2X1P4H7L
        3    13.44   MUXI2X3H7L
        1     5.32   MUXI2X4H7L
       43     60.2   NAND2BX0P5H7L
        1      1.4   NAND2BX0P7H7L
        1      1.4   NAND2BX1P4H7L
      177   198.24   NAND2X0P5H7L
        1     1.12   NAND2X0P7H7L
        2     2.24   NAND2X1H7L
        5      5.6   NAND2X1P4H7L
        1     3.08   NAND2X6H7L
        6    11.76   NAND3BX0P5H7L
       36     50.4   NAND3X0P5H7L
        1      1.4   NAND3X0P7H7L
        3      4.2   NAND3X1P4H7L
        1      2.8   NAND3X3H7L
        1      4.2   NAND3X6H7L
        1     6.72   NAND4BBX6H7L
        3     6.72   NAND4BX0P5H7L
        1     2.24   NAND4BX0P7H7L
        5      9.8   NAND4X0P5H7L
        1     1.96   NAND4X1P4H7L
        1     2.24   NAND4X2H7L
       43     60.2   NOR2BX1H7L
       18     25.2   NOR2BX1P4H7L
      133   148.96   NOR2X0P5H7L
        1     1.12   NOR2X0P7H7L
        1     1.12   NOR2X1H7L
        4     4.48   NOR2X1P4H7L
        1     1.96   NOR2X3H7L
        2     3.92   NOR3BX0P5H7L
        1     4.76   NOR3BX6H7L
       28     39.2   NOR3X0P5H7L
        3      4.2   NOR3X1P4H7L
        1      2.8   NOR3X3H7L
        2     4.48   NOR4BX0P5H7L
        3     5.88   NOR4X0P5H7L
        1     2.52   NOR4X2H7L
        3     7.56   OA211X1P4H7L
        7    15.68   OA21X0P7H7L
        5       14   OA221X0P5H7L
        1     3.36   OA221X3H7L
        1     3.64   OA221X4H7L
        1     3.36   OA222X1H7L
        1     2.52   OA22X0P5H7L
        3     6.72   OA31X1H7L
       78   131.04   OAI211X0P7H7L
       13    21.84   OAI211X1H7L
       28    47.04   OAI211X1P4H7L
        2     5.04   OAI211X2H7L
        1     2.24   OAI21BX1H7L
        1     2.24   OAI21BX1P4H7L
      109    152.6   OAI21X0P5H7L
        1      1.4   OAI21X1H7L
        9     12.6   OAI21X1P4H7L
        1     2.52   OAI221X1H7L
        2     5.04   OAI221X1P4H7L
       16    31.36   OAI22X0P5H7L
       11    21.56   OAI2BB1X0P5H7L
       20     39.2   OAI31X0P5H7L
        2     3.92   OAI31X1H7L
        2     3.92   OAI31X1P4H7L
        1     2.52   OAI31X2H7L
        1     3.36   OAI31X3H7L
        1     4.48   OAI31X4H7L
        2     4.48   OAI32X0P5H7L
        2     4.48   OAI32X1P4H7L
        1      2.8   OAI32X2H7L
        1      2.8   OAO211X0P5H7L
       17    38.08   OAOI211X0P5H7L
        1     2.24   OAOI211X0P7H7L
        3     6.72   OAOI211X1P4H7L
        1     3.64   OAOI211X3H7L
        1      4.2   OAOI211X4H7L
        6      8.4   OR2X0P5H7L
        6      8.4   OR2X1P4H7L
        3     5.88   OR3X1H7L
        2     4.48   OR4X1P4H7L
       35       98   XNOR2X0P5H7L
        2      5.6   XNOR2X1H7L
        9     25.2   XNOR2X1P4H7L
        6    20.16   XNOR2X3H7L
        3    10.92   XNOR2X4H7L
       42    117.6   XOR2X0P5H7L
        4     11.2   XOR2X1P4H7L
       10     33.6   XOR2X3H7L

   Chip area for module '\ysyx_26020046_rv32ioldALU': 2980.600000
     of which used for sequential elements: 0.000000 (0.00%)

