Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
seg1[7]_reg_p_D_NAND4X1P4H7L_Y,1.2,1.277e-05,0.000e+00,3.513e-10,1.277e-05
seg1[4]_reg_p_D_NAND4X1P4H7L_Y,1.2,1.057e-05,0.000e+00,3.433e-10,1.057e-05
seg1[1]_reg_p_D_AOAI211X1H7L_Y,1.2,7.778e-06,0.000e+00,8.013e-10,7.778e-06
seg1[5]_reg_p_D_AOAI211X1P4H7L_Y,1.2,6.648e-06,0.000e+00,8.789e-10,6.649e-06
out[7]_reg_p_D_BUFX16H7L_Y,1.2,5.017e-06,0.000e+00,1.003e-08,5.027e-06
seg0[7]_reg_p_D_OAI211X1H7L_Y,1.2,4.959e-06,0.000e+00,6.231e-10,4.959e-06
seg1[4]_reg_p_D_NAND4X1P4H7L_Y_C_NAND4BX2H7L_Y,1.2,4.919e-06,0.000e+00,1.390e-09,4.921e-06
seg1[6]_reg_p_D_NAND3BX1P4H7L_Y,1.2,4.584e-06,0.000e+00,1.362e-09,4.586e-06
out[7]_reg_p_D_BUFX16H7L_Y_A_XNOR2X4H7L_Y,1.2,4.292e-06,0.000e+00,4.982e-09,4.297e-06
seg0[1]_reg_p_D_AOAI211X1P4H7L_Y,1.2,4.162e-06,0.000e+00,8.846e-10,4.163e-06
seg1[1]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg1[3]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg0[1]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg1[4]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg0[4]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg1[2]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg0[5]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg0[7]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg1[7]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg0[6]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg1[6]_reg_p,1.2,3.968e-06,0.000e+00,6.757e-09,3.975e-06
seg1[5]_reg_p,1.2,3.968e-06,0.000e+00,6.740e-09,3.975e-06
seg1[2]_reg_p_D_OAI21X1P4H7L_Y,1.2,3.583e-06,0.000e+00,9.057e-10,3.584e-06
seg1[1]_reg_p_D_AOAI211X1H7L_Y_C0_NAND4X1P4H7L_Y,1.2,3.560e-06,0.000e+00,3.440e-10,3.561e-06
out[7]_reg_p,1.2,3.344e-06,0.000e+00,6.663e-09,3.351e-06
seg0[2]_reg_p,1.2,3.249e-06,0.000e+00,6.580e-09,3.255e-06
seg0[4]_reg_p_D_NAND2X1P4H7L_Y_B_AOI22X0P5H7L_Y,1.2,3.224e-06,0.000e+00,8.322e-10,3.225e-06
seg0[3]_reg_p,1.2,2.926e-06,0.000e+00,6.748e-09,2.933e-06
seg1[6]_reg_p_D_NAND3BX1P4H7L_Y_C_OAI211X1P4H7L_Y,1.2,2.727e-06,0.000e+00,6.894e-10,2.728e-06
seg0[2]_reg_p_D_AOI211X1P4H7L_Y,1.2,2.633e-06,0.000e+00,8.626e-10,2.634e-06
seg1[3]_reg_p_D_OAI21X1P4H7L_Y,1.2,2.492e-06,0.000e+00,9.054e-10,2.492e-06
seg1[4]_reg_p_D_NAND4X1P4H7L_Y_D_NAND3BX1P4H7L_Y,1.2,2.427e-06,0.000e+00,1.156e-09,2.428e-06
out[1]_reg_p_D_BUFX1H7L_Y_A_XNOR2X4H7L_A,1.2,2.049e-06,0.000e+00,4.831e-09,2.054e-06
seg0[5]_reg_p_D_NAND2X0P5H7L_Y_B_AOAI211X0P5H7L_Y,1.2,1.885e-06,0.000e+00,6.858e-10,1.886e-06
seg1[3]_reg_p_D_OAI21X1P4H7L_Y_B0_OAI2BB1X1P4H7L_Y,1.2,1.881e-06,0.000e+00,1.284e-09,1.883e-06
seg0[1]_reg_p_D_AOAI211X1P4H7L_Y_C0_NAND4BX0P5H7L_Y,1.2,1.868e-06,0.000e+00,9.099e-10,1.869e-06
seg0[7]_reg_p_D_OAI211X1H7L_Y_B0_NAND4BX0P5H7L_Y,1.2,1.867e-06,0.000e+00,9.099e-10,1.868e-06
seg0[6]_reg_p_D_NAND2X0P5H7L_Y_B_AOAI211X0P5H7L_Y,1.2,1.748e-06,0.000e+00,6.744e-10,1.749e-06
seg0[6]_reg_p_D_NAND2X0P5H7L_Y_A_AOAI211X0P5H7L_Y,1.2,1.642e-06,0.000e+00,6.858e-10,1.643e-06
seg1[7]_reg_p_D_NAND4X1P4H7L_Y_A_NAND3X1H7L_Y,1.2,1.619e-06,0.000e+00,4.378e-10,1.619e-06
seg0[3]_reg_p_D_OAI2BB1X0P5H7L_Y,1.2,1.463e-06,0.000e+00,1.125e-09,1.464e-06
seg1[7]_reg_p_D_NAND4X1P4H7L_Y_D_NAND3X0P5H7L_Y,1.2,1.422e-06,0.000e+00,3.753e-10,1.422e-06
seg1[6]_reg_p_D_NAND3BX1P4H7L_Y_B_NAND3X0P5H7L_Y,1.2,1.418e-06,0.000e+00,3.997e-10,1.418e-06
seg0[4]_reg_p_D_NAND2X1P4H7L_Y,1.2,1.335e-06,0.000e+00,7.197e-10,1.336e-06
seg1[5]_reg_p_D_AOAI211X1P4H7L_Y_C0_NAND2BX1P4H7L_Y,1.2,1.259e-06,0.000e+00,1.458e-09,1.261e-06
out[3]_reg_p_D_BUFX1H7L_Y_A_XOR2X0P7H7L_A,1.2,1.245e-06,0.000e+00,3.120e-09,1.248e-06
seg0[7]_reg_p_D_OAI211X1H7L_Y_A1_XOR2X0P5H7L_Y,1.2,1.097e-06,0.000e+00,3.089e-09,1.100e-06
out[0]_reg_p,1.2,9.656e-07,0.000e+00,6.757e-09,9.723e-07
seg0[2]_reg_p_D_AOI211X1P4H7L_Y_C0_AOI21X1P4H7L_Y,1.2,9.610e-07,0.000e+00,8.977e-10,9.619e-07
seg1[2]_reg_p_D_OAI21X1P4H7L_Y_A1_AOI21X0P5H7L_Y,1.2,8.664e-07,0.000e+00,8.305e-10,8.673e-07
out[0]_reg_p_D_AO21X1H7L_Y,1.2,8.577e-07,0.000e+00,1.575e-09,8.593e-07
seg0[6]_reg_p_D_NAND2X0P5H7L_Y,1.2,8.355e-07,0.000e+00,5.628e-10,8.361e-07
seg0[4]_reg_p_D_NAND2X1P4H7L_Y_B_AOI22X0P5H7L_Y_B0_MUX2X0P5H7L_Y,1.2,8.016e-07,0.000e+00,2.117e-09,8.037e-07
out[5]_reg_p,1.2,7.950e-07,0.000e+00,6.757e-09,8.018e-07
out[6]_reg_p,1.2,7.946e-07,0.000e+00,6.757e-09,8.014e-07
out[1]_reg_p,1.2,7.927e-07,0.000e+00,6.757e-09,7.995e-07
out[2]_reg_p,1.2,7.926e-07,0.000e+00,6.757e-09,7.994e-07
out[4]_reg_p,1.2,7.925e-07,0.000e+00,6.757e-09,7.993e-07
out[3]_reg_p,1.2,7.921e-07,0.000e+00,6.757e-09,7.989e-07
seg0[1]_reg_p_D_AOAI211X1P4H7L_Y_A1_OR2X1P4H7L_Y,1.2,7.147e-07,0.000e+00,1.715e-09,7.164e-07
seg0[5]_reg_p_D_NAND2X0P5H7L_Y,1.2,6.879e-07,0.000e+00,5.628e-10,6.884e-07
seg1[4]_reg_p_D_NAND4X1P4H7L_Y_A_NAND3X0P5H7L_Y,1.2,6.872e-07,0.000e+00,4.054e-10,6.876e-07
seg1[5]_reg_p_D_AOAI211X1P4H7L_Y_B0_NAND2X0P5H7L_Y,1.2,6.085e-07,0.000e+00,5.534e-10,6.091e-07
seg0[3]_reg_p_D_OAI2BB1X0P5H7L_Y_B0_OAI21X0P5H7L_Y,1.2,5.979e-07,0.000e+00,6.996e-10,5.986e-07
seg1[4]_reg_p_D_NAND4X1P4H7L_Y_B_NAND2X0P5H7L_Y,1.2,5.851e-07,0.000e+00,4.908e-10,5.856e-07
seg0[3]_reg_p_D_OAI2BB1X0P5H7L_Y_A1N_OAI21X0P5H7L_Y,1.2,5.564e-07,0.000e+00,7.087e-10,5.572e-07
out[0]_reg_p_D_AO21X1H7L_Y_A0_OR2X1P4H7L_B,1.2,5.455e-07,0.000e+00,1.786e-09,5.473e-07
out[2]_reg_p_D_BUFX1H7L_Y_A_BUFX7H7L_Y,1.2,5.315e-07,0.000e+00,4.862e-09,5.363e-07
seg1[6]_reg_p_D_NAND3BX1P4H7L_Y_AN_NOR4X2H7L_Y,1.2,5.055e-07,0.000e+00,3.886e-10,5.059e-07
out[0]_reg_p_D_AO21X1H7L_Y_A1_NAND2X1P4H7L_B,1.2,4.282e-07,0.000e+00,7.187e-10,4.289e-07
seg0[7]_reg_p_D_OAI211X1H7L_Y_A0_NAND2BX0P5H7L_Y,1.2,4.117e-07,0.000e+00,1.202e-09,4.130e-07
out[3]_reg_p_D_BUFX1H7L_Y_A_BUFX5H7L_Y,1.2,4.057e-07,0.000e+00,3.360e-09,4.090e-07
seg0[2]_reg_p_D_AOI211X1P4H7L_Y_C0_AOI21X1P4H7L_Y_A0_NAND2BX0P5H7L_Y,1.2,4.044e-07,0.000e+00,1.202e-09,4.056e-07
out[1]_reg_p_D_BUFX1H7L_Y_A_BUFX3P5H7L_Y,1.2,2.981e-07,0.000e+00,2.428e-09,3.006e-07
out[6]_reg_p_D_BUFX1H7L_Y_A_BUFX3P5H7L_Y,1.2,2.975e-07,0.000e+00,2.428e-09,3.000e-07
seg0[5]_reg_p_D_NAND2X0P5H7L_Y_A_NAND2X0P5H7L_Y_B_NOR2BX1P4H7L_Z,1.2,2.644e-07,0.000e+00,1.432e-09,2.658e-07
out[0]_reg_p_D_AO21X1H7L_Y_A0_NOR4X1P4H7L_Y,1.2,2.588e-07,0.000e+00,3.292e-10,2.592e-07
seg0[5]_reg_p_D_NAND2X0P5H7L_Y_A_NAND2X0P5H7L_Y,1.2,2.357e-07,0.000e+00,5.329e-10,2.362e-07
seg1[3]_reg_p_D_OAI21X1P4H7L_Y_A1_NAND2X0P5H7L_Y,1.2,2.351e-07,0.000e+00,5.628e-10,2.357e-07
seg1[1]_reg_p_D_AOAI211X1H7L_Y_A0_NAND2X0P5H7L_Y,1.2,2.345e-07,0.000e+00,5.628e-10,2.351e-07
seg0[2]_reg_p_D_AOI211X1P4H7L_Y_B0_NOR2BX0P5H7L_Z,1.2,1.932e-07,0.000e+00,1.284e-09,1.945e-07
out[0]_reg_p_D_AO21X1H7L_Y_B0_BUFX1P4H7L_Y,1.2,1.744e-07,0.000e+00,1.449e-09,1.759e-07
seg1[4]_reg_p_D_NAND4X1P4H7L_Y_B_NAND2X0P5H7L_Y_B_NOR3X0P5H7L_Y,1.2,1.704e-07,0.000e+00,3.897e-10,1.708e-07
seg0[1]_reg_p_D_AOAI211X1P4H7L_Y_A1_NOR2X0P5H7L_B,1.2,1.599e-07,0.000e+00,5.551e-10,1.605e-07
out[0]_reg_p_D_AO21X1H7L_Y_A1_NOR2X0P5H7L_Y,1.2,1.586e-07,0.000e+00,5.551e-10,1.592e-07
out[4]_reg_p_D_BUFX1H7L_Y,1.2,1.535e-07,0.000e+00,1.375e-09,1.548e-07
out[5]_reg_p_D_BUFX1H7L_Y,1.2,1.523e-07,0.000e+00,1.375e-09,1.537e-07
out[1]_reg_p_D_BUFX1H7L_Y,1.2,1.502e-07,0.000e+00,1.375e-09,1.516e-07
out[6]_reg_p_D_BUFX1H7L_Y,1.2,1.498e-07,0.000e+00,1.375e-09,1.511e-07
out[3]_reg_p_D_BUFX1H7L_Y,1.2,1.491e-07,0.000e+00,1.375e-09,1.504e-07
out[2]_reg_p_D_BUFX1H7L_Y,1.2,1.489e-07,0.000e+00,1.375e-09,1.503e-07
seg0[4]_reg_p_D_NAND2X1P4H7L_Y_B_AOI22X0P5H7L_Y_A1_NOR2X0P5H7L_Y,1.2,1.061e-07,0.000e+00,5.551e-10,1.067e-07
seg1[7]_reg_p_D_NAND4X1P4H7L_Y_A_NAND3X1H7L_Y_C_NOR2X0P5H7L_Y,1.2,1.059e-07,0.000e+00,5.551e-10,1.065e-07
seg1[7]_reg_p_D_NAND4X1P4H7L_Y_D_NAND3X0P5H7L_Y_C_NOR2X0P5H7L_Y,1.2,1.054e-07,0.000e+00,5.551e-10,1.059e-07
seg1[5]_reg_p_D_AOAI211X1P4H7L_Y_A1_INVX1P4H7L_Y,1.2,4.978e-08,0.000e+00,8.094e-10,5.059e-08
seg1[4]_reg_p_D_NAND4X1P4H7L_Y_C_NAND4BX2H7L_Y_C_INVX1H7L_Y,1.2,4.471e-08,0.000e+00,7.357e-10,4.544e-08
seg1[6]_reg_p_D_NAND3BX1P4H7L_Y_AN_NOR4X2H7L_Y_C_INVX0P5H7L_Y,1.2,4.075e-08,0.000e+00,6.395e-10,4.139e-08
