Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
segT1[6]_reg_p_D_NAND3X1P4H7L_Y_B_OR4X1P4H7L_Y,1.2,2.207e-04,0.000e+00,1.698e-09,2.207e-04
segT1[5]_reg_p_D_AOI22X1P4H7L_Y,1.2,1.938e-04,0.000e+00,1.086e-09,1.938e-04
segT1[4]_reg_p_D_OA211X4H7L_Y,1.2,1.456e-04,0.000e+00,1.843e-09,1.457e-04
segT0[1]_reg_p_D_OAO211X0P5H7L_Y,1.2,1.419e-04,0.000e+00,1.553e-09,1.419e-04
segT1[6]_reg_p_D_NAND3X1P4H7L_Y_C_OAI221X0P5H7L_Y,1.2,1.378e-04,0.000e+00,6.351e-10,1.378e-04
segT1[2]_reg_p_D_OAOI211X1P4H7L_Y,1.2,1.353e-04,0.000e+00,9.358e-10,1.353e-04
segT1[6]_reg_p_D_NAND3X1P4H7L_Y,1.2,1.309e-04,0.000e+00,5.199e-10,1.309e-04
segT1[4]_reg_p_D_OA211X4H7L_Y_C0_OAI211X1H7L_Y,1.2,1.075e-04,0.000e+00,5.944e-10,1.075e-04
buffer_9__XNOR2X3H7L_B_Y_XNOR3X4H7L_B,1.2,1.059e-04,0.000e+00,8.183e-09,1.059e-04
SegT1.in_2__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_NAND3X6H7L_C,1.2,9.956e-05,0.000e+00,1.731e-09,9.957e-05
segT1[6]_reg_p_D_NAND3X1P4H7L_Y_B_OR4X1P4H7L_Y_C_MUX2X3H7L_Y,1.2,9.542e-05,0.000e+00,4.281e-09,9.542e-05
segT0[1]_reg_p_D_OAO211X0P5H7L_Y_B0_OAI211X1P4H7L_Y,1.2,9.328e-05,0.000e+00,6.904e-10,9.328e-05
segT1[1]_reg_p_D_OAI31X1H7L_Y,1.2,9.051e-05,0.000e+00,8.843e-10,9.051e-05
segT0[7]_reg_p_D_AOA211X2H7L_Y_A1_OAI2BB2X1P4H7L_Y_A1N_XNOR2X3H7L_Y,1.2,8.625e-05,0.000e+00,4.085e-09,8.625e-05
segT0[4]_reg_p_D_AOI21X0P5H7L_Y_A1_OAI211X0P7H7L_Y,1.2,7.770e-05,0.000e+00,5.718e-10,7.770e-05
segT1[5]_reg_p_D_AOI22X1P4H7L_Y_B1_OR3X1H7L_Y_C_AOI2BB2X0P5H7L_Y,1.2,7.429e-05,0.000e+00,1.719e-09,7.429e-05
segT1[2]_reg_p_D_OAOI211X1P4H7L_Y_C0_OAI211X0P7H7L_Y,1.2,6.604e-05,0.000e+00,5.694e-10,6.604e-05
segT0[3]_reg_p_D_AOI31X0P5H7L_Y,1.2,6.129e-05,0.000e+00,7.364e-10,6.129e-05
segT0[4]_reg_p_D_AOI21X0P5H7L_Y_A0_AOAI211X0P5H7L_Y,1.2,6.112e-05,0.000e+00,6.859e-10,6.112e-05
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_B0_OAI221X0P5H7L_Y,1.2,6.083e-05,0.000e+00,6.810e-10,6.083e-05
segT0[7]_reg_p_D_AOA211X2H7L_Y,1.2,6.070e-05,0.000e+00,1.408e-09,6.070e-05
segT1[6]_reg_p_D_NAND3X1P4H7L_Y_C_OAI221X0P5H7L_Y_B0_OA211X0P7H7L_Y,1.2,6.009e-05,0.000e+00,9.814e-10,6.009e-05
segT1[7]_reg_p_D_NOR2X1P4H7L_Y_B_OA221X0P5H7L_Y,1.2,5.997e-05,0.000e+00,1.193e-09,5.997e-05
segT1[5]_reg_p_D_AOI22X1P4H7L_Y_B1_OR3X1H7L_Y,1.2,5.930e-05,0.000e+00,1.662e-09,5.930e-05
over_reg_p_D_NOR4X0P5H7L_Y_C_NOR2X0P5H7L_A_Y_NOR3X1H7L_B_Y_NAND3X6H7L_C,1.2,5.754e-05,0.000e+00,1.473e-09,5.754e-05
segT1[7]_reg_p_D_NOR2X1P4H7L_Y_A_AOI2XB1X1H7L_Y_A0_OAI32X1P4H7L_Y,1.2,5.692e-05,0.000e+00,9.734e-10,5.692e-05
segT1[1]_reg_p_D_OAI31X1H7L_Y_A1_AOI21X1P4H7L_Y,1.2,5.356e-05,0.000e+00,1.030e-09,5.356e-05
buffer_9__XNOR2X3H7L_B_Y_XNOR3X4H7L_B_Y_XOR2X6H7L_A,1.2,5.193e-05,0.000e+00,6.321e-09,5.194e-05
segT0[4]_reg_p_D_AOI21X0P5H7L_Y_A1_OAI211X0P7H7L_Y_B0_OAI211X0P7H7L_Y,1.2,5.127e-05,0.000e+00,5.720e-10,5.127e-05
segT1[3]_reg_p_D_OAOI211X1P4H7L_Y,1.2,5.086e-05,0.000e+00,1.054e-09,5.086e-05
segT0[7]_reg_p_D_AOA211X2H7L_Y_A1_OAI2BB2X1P4H7L_Y,1.2,5.014e-05,0.000e+00,1.346e-09,5.014e-05
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0,1.2,4.894e-05,0.000e+00,2.402e-09,4.894e-05
segT1[4]_reg_p_D_OA211X4H7L_Y_A1_AND3X8H7L_Y_C_XNOR2X3H7L_Y,1.2,4.889e-05,0.000e+00,4.095e-09,4.889e-05
segT0[3]_reg_p_D_AOI31X0P5H7L_Y_A1_NOR3X1P4H7L_Y_C_AOI21X4H7L_B0_Y_NAND2X6H7L_B,1.2,4.876e-05,0.000e+00,2.500e-09,4.876e-05
segT1[1]_reg_p_D_OAI31X1H7L_Y_B0_OAI211X0P7H7L_Y_A1_NOR2BX1H7L_Z_AN_AOI2XB1X4H7L_A0,1.2,4.799e-05,0.000e+00,2.948e-09,4.799e-05
segT0[6]_reg_p_D_OAOI211X0P5H7L_Y,1.2,4.763e-05,0.000e+00,6.807e-10,4.763e-05
segT0[6]_reg_p_D_OAOI211X0P5H7L_Y_A1_OAI21X0P5H7L_Y,1.2,4.293e-05,0.000e+00,7.086e-10,4.293e-05
segT1[1]_reg_p_D_OAI31X1H7L_Y_B0_OAI211X0P7H7L_Y,1.2,4.237e-05,0.000e+00,4.908e-10,4.237e-05
segT0[2]_reg_p_D_OA211X1P4H7L_Y,1.2,3.920e-05,0.000e+00,1.043e-09,3.920e-05
segT0[4]_reg_p_D_AOI21X0P5H7L_Y,1.2,3.899e-05,0.000e+00,7.069e-10,3.899e-05
segT1[7]_reg_p_D_NOR2X1P4H7L_Y_A_AOI2XB1X1H7L_Y,1.2,3.670e-05,0.000e+00,1.670e-09,3.670e-05
segT0[7]_reg_p_D_AOA211X2H7L_Y_B0_OAOI211X0P5H7L_Y,1.2,3.359e-05,0.000e+00,6.803e-10,3.359e-05
