Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
buffer_0__NAND3BX0P5H7L_AN_Y_NOR3X1P4H7L_C_A_XNOR2X0P5H7L_Y,1.2,2.039e-05,0.000e+00,3.153e-09,2.039e-05
over_NOR4BX0P5H7L_B_C_OR4X1P4H7L_Y,1.2,1.497e-05,0.000e+00,1.680e-09,1.497e-05
buffer_9__XNOR2X0P5H7L_B_Y_XNOR2X0P5H7L_A_Y_XNOR2X1P4H7L_B,1.2,1.322e-05,0.000e+00,3.335e-09,1.322e-05
buffer_0__NAND3BX0P5H7L_AN_Y_NOR3X1P4H7L_C_A_XNOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,8.511e-06,0.000e+00,3.192e-09,8.514e-06
buffer_9__XNOR2X0P5H7L_B_Y_XNOR2X0P5H7L_A,1.2,8.206e-06,0.000e+00,3.162e-09,8.209e-06
over_NOR4BX0P5H7L_B_D_NAND4BX0P5H7L_Y,1.2,7.356e-06,0.000e+00,8.987e-10,7.357e-06
buffer_9__XNOR2X0P5H7L_B_Y_XNOR2X0P5H7L_A_B_XNOR2X1H7L_Y,1.2,5.308e-06,0.000e+00,3.269e-09,5.312e-06
buffer_0__NAND3BX0P5H7L_AN_Y_NOR3X1P4H7L_C_A_XNOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_XOR2X0P5H7L_Y,1.2,5.267e-06,0.000e+00,3.149e-09,5.270e-06
buffer_3__reg_p_D_MUX2X0P5H7L_Y,1.2,5.057e-06,0.000e+00,2.050e-09,5.059e-06
buffer_0__NAND3BX0P5H7L_AN_Y_NOR3X1P4H7L_C,1.2,4.098e-06,0.000e+00,5.520e-10,4.099e-06
count_3__reg_p,1.2,3.968e-06,0.000e+00,6.596e-09,3.975e-06
buffer_1__reg_p,1.2,3.967e-06,0.000e+00,6.604e-09,3.974e-06
buffer_2__reg_p,1.2,3.967e-06,0.000e+00,6.603e-09,3.974e-06
buffer_7__reg_p,1.2,3.965e-06,0.000e+00,6.611e-09,3.972e-06
buffer_3__reg_p,1.2,3.965e-06,0.000e+00,6.602e-09,3.972e-06
