
25. Printing statistics.

=== ex8sta ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
      201        - wires
      201        - wire bits
      201        - public wires
      201        - public wire bits
       49        - ports
       49        - port bits
      175    397.6 cells
        1     1.96   AND3X0P5H7L
        1     2.24   AND4X0P5H7L
        1     2.24   AND4X1P4H7L
        2     4.48   AO21X1H7L
        1     2.52   AOA211X1P4H7L
        1     1.96   AOAI211X0P5H7L
        1     1.96   AOAI211X1P4H7L
        2     3.92   AOI211X0P5H7L
        9    17.64   AOI211X1P4H7L
        5        7   AOI21X0P5H7L
        5        7   AOI21X1P4H7L
        1     1.96   AOI22X1P4H7L
        1     1.96   AOI2BB1X0P5H7L
        1     2.52   AOI2BB2X1P4H7L
        1     1.96   AOI31X0P5H7L
        9    10.08   BUFX1P4H7L
        1      1.4   BUFX3H7L
        1     1.68   BUFX3P5H7L
       20    123.2   DFFQX1H7L
        1     6.16   ICGX0P5H7L
        8     6.72   INVX0P5H7L
        1      2.8   MUX2X0P5H7L
        1      2.8   MUX2X1P4H7L
        2      2.8   NAND2BX0P5H7L
        9    10.08   NAND2X0P5H7L
        1     3.08   NAND3BBX6H7L
        3     5.88   NAND3BX0P5H7L
        7      9.8   NAND3X0P5H7L
        1      2.8   NAND3X3H7L
        4     8.96   NAND4BX0P5H7L
        3     5.88   NAND4X0P5H7L
        1     2.24   NAND4X2H7L
        4      5.6   NOR2BX1H7L
        6     6.72   NOR2X0P5H7L
        1     1.96   NOR3BX0P5H7L
        6      8.4   NOR3X0P5H7L
        5        7   NOR3X1P4H7L
        1     1.96   NOR4X0P5H7L
        1     1.96   NOR4X1H7L
        1     1.96   NOR4X1P4H7L
        1     3.64   NOR4X3H7L
        1     5.32   NOR4X6H7L
        2     5.04   OA211X1P4H7L
        1     2.24   OA31X1H7L
        1     1.68   OAI211X1P4H7L
       11     15.4   OAI21X0P5H7L
        6    11.76   OAI31X0P5H7L
        1     1.96   OAI31X1P4H7L
        1     2.24   OAOI211X1P4H7L
        1      1.4   OR2X0P5H7L
        1      1.4   OR2X1P4H7L
        3     5.88   OR3X1H7L
        2     4.48   OR4X1P4H7L
        1      2.8   OR4X3H7L
        1     1.12   TIELOH7L
        5       14   XNOR2X0P5H7L
        5       14   XOR2X0P5H7L

   Chip area for module '\ex8sta': 397.600000
     of which used for sequential elements: 123.200000 (30.99%)

