Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
gpr[2]_7__MUX2X0P5H7L_A_Y_XOR2X0P5H7L_B_Y_NOR4X0P5H7L_B_Y_AOI211X3H7L_B0,1.2,4.473e-05,0.000e+00,1.615e-09,4.473e-05
gpr[1]_5__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A_Y_NOR2X1H7L_B_Y_OAOI211X4H7L_B0,1.2,3.822e-05,0.000e+00,2.719e-09,3.822e-05
gpr[1]_6__XNOR2X0P5H7L_B_Y_NAND3X0P5H7L_B_Y_AOAI211X0P5H7L_A1,1.2,3.089e-05,0.000e+00,6.919e-10,3.089e-05
gpr[1]_6__MUX4X1P4H7L_B_Y_NOR2X0P5H7L_B_Y_INVX0P5H7L_A_Y_NAND2X0P5H7L_B_Y_XNOR2X0P5H7L_B,1.2,2.137e-05,0.000e+00,3.086e-09,2.138e-05
pc[3]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.105e-05,0.000e+00,2.141e-09,2.105e-05
pc[2]_reg_p_D_MUX2X0P5H7L_Y,1.2,1.952e-05,0.000e+00,2.140e-09,1.952e-05
pc[0]_reg_p_D_MUX2X0P5H7L_Y,1.2,1.885e-05,0.000e+00,2.098e-09,1.885e-05
pc[1]_reg_p_D_MUX2X0P5H7L_Y,1.2,1.809e-05,0.000e+00,2.138e-09,1.810e-05
gpr[2]_4__MUX2X0P5H7L_A_Y_XNOR2X0P5H7L_B_Y_NAND4X0P5H7L_A,1.2,1.784e-05,0.000e+00,2.331e-10,1.784e-05
gpr[1]_5__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A_Y_XNOR2X1H7L_A,1.2,1.645e-05,0.000e+00,3.209e-09,1.645e-05
gpr[1]_5__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A_Y_NOR2X1H7L_B_A_OR3X1H7L_C,1.2,1.425e-05,0.000e+00,1.745e-09,1.426e-05
gpr[2]_1__MUX2X0P5H7L_A_Y_XNOR2X0P5H7L_B_Y_NAND4X0P5H7L_B,1.2,1.407e-05,0.000e+00,2.401e-10,1.407e-05
gpr[1]_7__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_B_Y_AOA211X2H7L_C0,1.2,1.403e-05,0.000e+00,1.407e-09,1.404e-05
gpr[1]_5__MUX4X3H7L_B,1.2,1.162e-05,0.000e+00,5.300e-09,1.162e-05
gpr[1]_0__MUX4X3H7L_B,1.2,1.162e-05,0.000e+00,5.300e-09,1.162e-05
gpr[1]_3__MUX4X3H7L_B,1.2,1.149e-05,0.000e+00,5.300e-09,1.150e-05
gpr[1]_2__MUX4X3H7L_B,1.2,1.144e-05,0.000e+00,5.300e-09,1.145e-05
gpr[1]_1__MUX4X3H7L_B,1.2,1.111e-05,0.000e+00,5.300e-09,1.111e-05
gpr[1]_5__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A_Y_NOR2X1H7L_B_A_OR3X1H7L_C_Y_AOI21X0P5H7L_A1,1.2,1.057e-05,0.000e+00,8.353e-10,1.057e-05
seg0[6]_reg_p_D_AOAI211X0P5H7L_Y_B0_AOI21X3H7L_A0,1.2,1.055e-05,0.000e+00,1.681e-09,1.055e-05
seg0[6]_reg_p_D_AOAI211X0P5H7L_Y,1.2,1.030e-05,0.000e+00,6.965e-10,1.030e-05
seg0[1]_reg_p_D_OAI32X0P5H7L_Y,1.2,1.024e-05,0.000e+00,8.164e-10,1.024e-05
gpr[1]_5__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_A_Y_XNOR2X1H7L_A_B_OAI31X1H7L_Y,1.2,1.010e-05,0.000e+00,8.970e-10,1.010e-05
gpr[1]_3__MUX4X1P4H7L_B_Y_XNOR2X0P7H7L_B_Y_XOR2X0P5H7L_A,1.2,9.781e-06,0.000e+00,3.140e-09,9.784e-06
pc[3]_reg_p_D_MUX2X0P5H7L_Y_A_XNOR2X0P5H7L_Y,1.2,8.719e-06,0.000e+00,3.087e-09,8.722e-06
gpr[1]_7__MUX4X1P4H7L_B,1.2,8.450e-06,0.000e+00,4.266e-09,8.454e-06
gpr[1]_6__MUX4X1P4H7L_B_1,1.2,8.443e-06,0.000e+00,4.266e-09,8.448e-06
gpr[1]_4__MUX4X1P4H7L_B,1.2,8.431e-06,0.000e+00,4.266e-09,8.435e-06
gpr[1]_7__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_B_Y_AOI211X0P5H7L_C0,1.2,8.379e-06,0.000e+00,5.747e-10,8.380e-06
gpr[1]_6__MUX4X1P4H7L_B,1.2,8.368e-06,0.000e+00,4.266e-09,8.372e-06
gpr[1]_3__MUX4X1P4H7L_B,1.2,8.364e-06,0.000e+00,4.266e-09,8.368e-06
gpr[1]_1__MUX4X1P4H7L_B,1.2,8.355e-06,0.000e+00,4.266e-09,8.360e-06
gpr[1]_5__MUX4X1P4H7L_B,1.2,8.346e-06,0.000e+00,4.266e-09,8.350e-06
gpr[1]_7__MUX4X1P4H7L_B_1,1.2,8.327e-06,0.000e+00,4.266e-09,8.331e-06
gpr[1]_1__MUX4X1P4H7L_B_Y_AOI31X2H7L_B0_Y_NOR2X0P5H7L_A_Y_XOR2X0P5H7L_B,1.2,8.326e-06,0.000e+00,3.181e-09,8.329e-06
gpr[1]_4__MUX4X1P4H7L_B_1,1.2,8.318e-06,0.000e+00,4.266e-09,8.322e-06
gpr[1]_0__MUX4X1P4H7L_B,1.2,8.318e-06,0.000e+00,4.266e-09,8.322e-06
gpr[1]_2__MUX4X1P4H7L_B,1.2,8.318e-06,0.000e+00,4.266e-09,8.322e-06
seg1[2]_reg_p_D_OAI22X0P5H7L_Y,1.2,8.154e-06,0.000e+00,8.054e-10,8.155e-06
gpr[1]_3__MUX4X1P4H7L_B_Y_XNOR2X0P7H7L_B_Y_NOR4X6H7L_B,1.2,7.925e-06,0.000e+00,1.181e-09,7.926e-06
seg0[2]_reg_p_D_OAI22X0P5H7L_Y,1.2,7.507e-06,0.000e+00,8.023e-10,7.507e-06
gpr[1]_1__MUX4X1P4H7L_B_Y_AOI31X2H7L_B0,1.2,7.402e-06,0.000e+00,1.183e-09,7.403e-06
gpr[1]_6__XNOR2X0P5H7L_B_Y_NAND3X0P5H7L_B,1.2,7.222e-06,0.000e+00,3.466e-10,7.222e-06
seg0[7]_reg_p_D_OAI22X0P5H7L_Y,1.2,6.921e-06,0.000e+00,8.294e-10,6.921e-06
gpr[1]_4__XNOR2X0P5H7L_B_Y_NAND3X0P5H7L_A,1.2,6.830e-06,0.000e+00,3.633e-10,6.830e-06
gpr[1]_1__MUX4X1P4H7L_B_Y_XNOR2X0P5H7L_B_Y_XNOR2X0P5H7L_B,1.2,6.660e-06,0.000e+00,3.125e-09,6.663e-06
seg0[5]_reg_p_D_OAI31X0P5H7L_Y,1.2,6.541e-06,0.000e+00,7.428e-10,6.542e-06
seg1[7]_reg_p_D_OAI21X0P5H7L_Y_B0_AOAI211X0P5H7L_Y,1.2,6.257e-06,0.000e+00,6.604e-10,6.258e-06
gpr[1]_3__MUX4X1P4H7L_B_Y_XNOR2X0P7H7L_B_Y_NOR4X6H7L_B_C_XNOR2X4H7L_Y,1.2,6.159e-06,0.000e+00,5.053e-09,6.164e-06
gpr[2]_2__MUX2X0P5H7L_A_Y_XNOR2X0P5H7L_B,1.2,6.158e-06,0.000e+00,3.113e-09,6.161e-06
gpr[2]_5__MUX2X0P5H7L_A_Y_XNOR2X0P5H7L_B,1.2,6.158e-06,0.000e+00,3.134e-09,6.161e-06
gpr[2]_3__MUX2X0P5H7L_A_Y_XNOR2X0P5H7L_B,1.2,6.156e-06,0.000e+00,3.113e-09,6.159e-06
gpr[2]_0__MUX2X0P5H7L_A_Y_XNOR2X0P5H7L_B,1.2,6.156e-06,0.000e+00,3.113e-09,6.159e-06
gpr[2]_1__MUX2X0P5H7L_A_Y_XNOR2X0P5H7L_B,1.2,6.155e-06,0.000e+00,3.113e-09,6.158e-06
gpr[2]_4__MUX2X0P5H7L_A_Y_XNOR2X0P5H7L_B,1.2,6.155e-06,0.000e+00,3.131e-09,6.158e-06
gpr[2]_6__MUX2X0P5H7L_A_Y_XNOR2X0P5H7L_B,1.2,6.153e-06,0.000e+00,3.134e-09,6.157e-06
seg0[3]_reg_p_D_OAI22X0P5H7L_Y,1.2,6.076e-06,0.000e+00,8.246e-10,6.077e-06
pc[2]_reg_p_D_MUX2X0P5H7L_Y_A_XNOR2X0P5H7L_Y,1.2,6.047e-06,0.000e+00,3.096e-09,6.050e-06
