
25. Printing statistics.

=== sCPUsta ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
      252        - wires
      252        - wire bits
      252        - public wires
      252        - public wire bits
       29        - ports
       29        - port bits
      242   772.52 cells
        1     1.68   AND2X1H7L
        1      2.8   AOA211X2H7L
        3     5.88   AOAI211X0P5H7L
        2     3.92   AOI211X0P5H7L
        1     3.36   AOI211X3H7L
        6      8.4   AOI21X0P5H7L
        1      1.4   AOI21X0P7H7L
        1      2.8   AOI21X3H7L
        2     3.92   AOI2BB1X0P5H7L
        2     3.92   AOI31X0P5H7L
        1     2.24   AOI31X2H7L
        1     5.04   BUFX16H7L
        1     1.12   BUFX1P4H7L
        2      2.8   BUFX3H7L
        1     1.68   BUFX3P5H7L
        3     5.88   BUFX5H7L
        1     2.52   BUFX7H7L
        1      2.8   BUFX8H7L
       50      308   DFFQX1H7L
        5     30.8   ICGX0P5H7L
        6     5.04   INVX0P5H7L
       13     36.4   MUX2X0P5H7L
       11    70.84   MUX4X1P4H7L
        5       35   MUX4X3H7L
        8     11.2   NAND2BX0P5H7L
       18    20.16   NAND2X0P5H7L
        3      4.2   NAND3X0P5H7L
        2     3.92   NAND4X0P5H7L
        1     1.68   NOR2BX0P5H7L
        7      9.8   NOR2BX1H7L
        2      2.8   NOR2BX1P4H7L
        8     8.96   NOR2X0P5H7L
        1     1.12   NOR2X1H7L
        1     1.12   NOR2X1P4H7L
        1     1.96   NOR3BX0P5H7L
        3      4.2   NOR3X0P5H7L
        1      1.4   NOR3X1P4H7L
        1     1.96   NOR4X0P5H7L
        1     5.32   NOR4X6H7L
        1     2.52   OA211X1H7L
        1     1.68   OAI211X1P4H7L
       13     18.2   OAI21X0P5H7L
        4     7.84   OAI22X0P5H7L
        2     3.92   OAI2BB1X0P5H7L
        2     3.92   OAI31X0P5H7L
        1     1.96   OAI31X1H7L
        1     2.24   OAI32X0P5H7L
        2     4.48   OAOI211X0P5H7L
        1      4.2   OAOI211X4H7L
        1      1.4   OR2X0P5H7L
        1      1.4   OR2X1P4H7L
        1     1.96   OR3X1H7L
        1     1.12   TIEHIH7L
       21     58.8   XNOR2X0P5H7L
        1      2.8   XNOR2X0P7H7L
        1      2.8   XNOR2X1H7L
        1     3.64   XNOR2X4H7L
        7     19.6   XOR2X0P5H7L

   Chip area for module '\sCPUsta': 772.520000
     of which used for sequential elements: 308.000000 (39.87%)

