
25. Printing statistics.

=== water ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
      142        - wires
      142        - wire bits
      142        - public wires
      142        - public wire bits
       12        - ports
       12        - port bits
      140   445.48 cells
        1     1.68   AND2X1H7L
        1     1.96   AND3X1H7L
        2     3.92   AND3X1P4H7L
        1     2.52   AO31X0P5H7L
        1     1.96   AOI211X1H7L
        4      5.6   AOI21X1P4H7L
        3     5.88   AOI21X2H7L
        1     2.24   AOI2XB1X1H7L
        1     1.96   BUFX5H7L
       42   258.72   DFFQX1H7L
        1     6.16   ICGX0P5H7L
        3     2.52   INVX0P5H7L
        5      5.6   NAND2X0P5H7L
        3     5.88   NAND3BX0P5H7L
        2      2.8   NAND3X0P5H7L
        1     1.96   NAND4X0P5H7L
        1     1.96   NAND4X1H7L
        2     3.92   NAND4X1P4H7L
        1      4.2   NAND4X4H7L
        1     5.32   NAND4X6H7L
        1     1.68   NOR2BX0P5H7L
        5        7   NOR2BX1P4H7L
        9    10.08   NOR2X1P4H7L
        1     1.96   NOR2X3H7L
        1     1.96   NOR3BX0P5H7L
        1     1.96   NOR3BX0P7H7L
        3      4.2   NOR3X0P5H7L
        1      1.4   NOR3X1P4H7L
        4     7.84   NOR4X0P5H7L
        1     1.96   NOR4X1H7L
        1     5.88   NOR4X4H7L
        1     2.24   OAI21BX0P5H7L
        6      8.4   OAI21X0P5H7L
        1     2.52   OAI221X1P4H7L
        2     3.92   OAI2BB1X0P5H7L
        1      1.4   OR2X0P5H7L
        5        7   OR2X0P7H7L
        2     3.92   OR3X1H7L
        3     5.88   OR3X1P4H7L
        1     2.24   OR4X1P4H7L
        1      2.8   OR4X3H7L
        1     1.12   TIELOH7L
        6     16.8   XNOR2X0P5H7L
        1     3.36   XNOR2X3H7L
        4     11.2   XOR2X0P5H7L

   Chip area for module '\water': 445.480000
     of which used for sequential elements: 258.720000 (58.08%)

