Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
out[9]_reg_p,1.2,3.834e-06,0.000e+00,8.615e-10,3.835e-06
out[8]_reg_p,1.2,3.210e-06,0.000e+00,8.615e-10,3.211e-06
out[7]_reg_p,1.2,2.443e-06,0.000e+00,8.615e-10,2.444e-06
out[9]_reg_p_D_OR2X1P4H7R_Y,1.2,1.799e-06,0.000e+00,1.901e-10,1.799e-06
out[6]_reg_p,1.2,1.677e-06,0.000e+00,8.615e-10,1.678e-06
myTime_2__NAND4X6H7R_C,1.2,1.644e-06,0.000e+00,2.000e-10,1.644e-06
out[8]_reg_p_D_OR2X1P4H7R_Y,1.2,1.452e-06,0.000e+00,1.901e-10,1.453e-06
myTime_15__reg_p_D_AOI21X2H7R_Y_A1_OR3X1P4H7R_Y_C_NOR4X4H7R_C,1.2,1.322e-06,0.000e+00,1.737e-10,1.322e-06
myTime_6__reg_p_D_NOR3X1H7R_Y_A_OAI21X0P5H7R_Y_A0_NOR3BX1P4H7R_Y_AN_OR4X3H7R_B,1.2,1.280e-06,0.000e+00,2.998e-10,1.280e-06
myTime_5__NAND4X4H7R_B,1.2,1.250e-06,0.000e+00,1.334e-10,1.250e-06
out[7]_reg_p_D_OR2X1P4H7R_Y,1.2,1.106e-06,0.000e+00,1.901e-10,1.106e-06
myTime_6__reg_p_D_NOR3X1H7R_Y_A_OAI21X0P5H7R_Y_A0_OAI221X1P4H7R_A0,1.2,1.008e-06,0.000e+00,1.323e-10,1.009e-06
myTime_11__reg_p_D_NOR2X3H7R_Y_B_XNOR2X4H7R_Y,1.2,9.335e-07,0.000e+00,5.995e-10,9.341e-07
out[5]_reg_p,1.2,9.103e-07,0.000e+00,8.615e-10,9.112e-07
myTime_19__NAND4X1P4H7R_D_Y_OR4X1P4H7R_C,1.2,8.540e-07,0.000e+00,1.741e-10,8.542e-07
myTime_19__INVX0P5H7R_A_Y_AO31X0P5H7R_B0,1.2,8.386e-07,0.000e+00,1.691e-10,8.388e-07
myTime_0__reg_p,1.2,7.726e-07,0.000e+00,8.615e-10,7.735e-07
myTime_6__reg_p,1.2,7.722e-07,0.000e+00,8.615e-10,7.731e-07
myTime_7__reg_p,1.2,7.718e-07,0.000e+00,8.615e-10,7.727e-07
myTime_3__reg_p,1.2,7.718e-07,0.000e+00,8.615e-10,7.726e-07
myTime_2__reg_p,1.2,7.718e-07,0.000e+00,8.615e-10,7.726e-07
myTime_1__reg_p,1.2,7.717e-07,0.000e+00,8.615e-10,7.725e-07
myTime_4__reg_p,1.2,7.716e-07,0.000e+00,8.615e-10,7.725e-07
myTime_12__reg_p,1.2,7.715e-07,0.000e+00,8.615e-10,7.724e-07
myTime_16__reg_p,1.2,7.715e-07,0.000e+00,8.615e-10,7.724e-07
myTime_8__reg_p,1.2,7.714e-07,0.000e+00,8.615e-10,7.723e-07
myTime_5__reg_p,1.2,7.712e-07,0.000e+00,8.615e-10,7.721e-07
myTime_14__reg_p,1.2,7.711e-07,0.000e+00,8.615e-10,7.719e-07
myTime_13__reg_p,1.2,7.711e-07,0.000e+00,8.615e-10,7.719e-07
myTime_18__reg_p,1.2,7.710e-07,0.000e+00,8.615e-10,7.718e-07
myTime_9__reg_p,1.2,7.710e-07,0.000e+00,8.615e-10,7.718e-07
myTime_10__reg_p,1.2,7.709e-07,0.000e+00,8.615e-10,7.718e-07
myTime_11__reg_p,1.2,7.709e-07,0.000e+00,8.615e-10,7.718e-07
myTime_15__reg_p,1.2,7.709e-07,0.000e+00,8.615e-10,7.718e-07
myTime_17__reg_p,1.2,7.699e-07,0.000e+00,8.615e-10,7.708e-07
myTime_19__reg_p,1.2,7.682e-07,0.000e+00,8.615e-10,7.690e-07
out[0]_reg_p,1.2,7.667e-07,0.000e+00,8.380e-10,7.676e-07
myTime_30__reg_p,1.2,7.666e-07,0.000e+00,8.458e-10,7.674e-07
myTime_25__reg_p,1.2,7.666e-07,0.000e+00,8.458e-10,7.674e-07
myTime_31__reg_p,1.2,7.666e-07,0.000e+00,8.458e-10,7.674e-07
myTime_29__reg_p,1.2,7.664e-07,0.000e+00,8.458e-10,7.673e-07
myTime_22__reg_p,1.2,7.664e-07,0.000e+00,8.458e-10,7.673e-07
myTime_26__reg_p,1.2,7.664e-07,0.000e+00,8.458e-10,7.673e-07
myTime_20__reg_p,1.2,7.664e-07,0.000e+00,8.458e-10,7.672e-07
myTime_27__reg_p,1.2,7.664e-07,0.000e+00,8.458e-10,7.672e-07
myTime_21__reg_p,1.2,7.664e-07,0.000e+00,8.458e-10,7.672e-07
myTime_28__reg_p,1.2,7.664e-07,0.000e+00,8.458e-10,7.672e-07
myTime_24__reg_p,1.2,7.664e-07,0.000e+00,8.458e-10,7.672e-07
out[6]_reg_p_D_OR2X1P4H7R_Y,1.2,7.587e-07,0.000e+00,1.901e-10,7.589e-07
is_ICGX0P5H7R_E,1.2,6.695e-07,0.000e+00,6.154e-10,6.701e-07
myTime_3__AND3X1P4H7R_A_Y_AOI211X1P4H7R_A1,1.2,5.995e-07,0.000e+00,1.110e-10,5.996e-07
myTime_2__AND3X1P4H7R_C,1.2,5.826e-07,0.000e+00,1.299e-10,5.827e-07
myTime_3__AND3X1P4H7R_A,1.2,5.811e-07,0.000e+00,1.299e-10,5.812e-07
out[1]_reg_p,1.2,5.750e-07,0.000e+00,8.211e-10,5.759e-07
myTime_16__reg_p_D_NOR2X1P4H7R_Y_B_XNOR2X1P4H7R_Y,1.2,5.751e-07,0.000e+00,3.807e-10,5.755e-07
myTime_20__NOR4X0P5H7R_A_Y_AND3X1H7R_A,1.2,5.494e-07,0.000e+00,1.199e-10,5.495e-07
myTime_15__reg_p_D_AOI21X2H7R_Y_A1_OR3X1P4H7R_Y_C_NAND4X2H7R_Y,1.2,5.458e-07,0.000e+00,6.675e-11,5.459e-07
myTime_19__NAND4X1P4H7R_D_Y_NOR4X1H7R_C_A_OR3X1P4H7R_Y,1.2,5.377e-07,0.000e+00,1.836e-10,5.378e-07
myTime_15__reg_p_D_AOI21X2H7R_Y_A1_OR3X1P4H7R_Y,1.2,5.331e-07,0.000e+00,1.836e-10,5.333e-07
myTime_13__reg_p_D_AOI21X2H7R_Y_A1_OR3X1P4H7R_Y,1.2,5.329e-07,0.000e+00,1.836e-10,5.331e-07
myTime_14__reg_p_D_AOI21X2H7R_Y_A1_OR3X1P4H7R_Y,1.2,5.328e-07,0.000e+00,1.836e-10,5.330e-07
myTime_5__XNOR2X0P5H7R_A,1.2,5.306e-07,0.000e+00,3.509e-10,5.309e-07
myTime_3__XNOR2X0P5H7R_A,1.2,5.300e-07,0.000e+00,3.509e-10,5.303e-07
myTime_9__reg_p_D_NOR2X1P4H7R_Y_B_XNOR2X0P5H7R_Y,1.2,5.299e-07,0.000e+00,3.509e-10,5.303e-07
myTime_10__reg_p_D_NOR2X1P4H7R_Y_B_XNOR2X0P5H7R_Y,1.2,5.298e-07,0.000e+00,3.509e-10,5.301e-07
myTime_1__reg_p_D_NOR2X1P4H7R_Y_B_XNOR2X0P5H7R_Y,1.2,5.296e-07,0.000e+00,3.509e-10,5.300e-07
is_NOR4X1H7R_Y_C_XOR2X0P5H7R_B,1.2,5.282e-07,0.000e+00,3.509e-10,5.285e-07
myTime_7__reg_p_D_NOR3X1H7R_Y_C_XOR2X0P5H7R_Y,1.2,5.274e-07,0.000e+00,3.509e-10,5.278e-07
