
25. Printing statistics.

=== ysyx_26020046_rv32i ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
     8187        - wires
     8187        - wire bits
     8187        - public wires
     8187        - public wire bits
      148        - ports
      148        - port bits
     8142  20633.2 cells
        1     1.68   AND2X0P7H7L
       78   131.04   AND2X1H7L
        3     5.04   AND2X1P4H7L
        1     3.36   AND2X6H7L
        3     5.88   AND3X0P5H7L
        9    17.64   AND3X1H7L
       25       49   AND3X1P4H7L
        1     2.24   AND3X3H7L
       15     33.6   AND4X0P5H7L
        6    13.44   AND4X1P4H7L
        1     5.88   AND4X6H7L
        1     2.52   AO211X0P5H7L
        1     2.52   AO211X0P7H7L
        6    15.12   AO211X1H7L
        7    17.64   AO211X1P4H7L
       15     33.6   AO21X1H7L
        1     2.24   AO21X1P4H7L
       19    58.52   AO221X0P5H7L
        1     3.08   AO221X1H7L
        1     3.08   AO221X1P4H7L
        3    10.08   AO222X0P5H7L
        1     3.36   AO222X1P4H7L
       27    68.04   AO22X0P7H7L
        1     2.52   AO22X1P4H7L
       11    27.72   AO31X0P5H7L
        1     2.52   AO31X1P4H7L
        6    15.12   AOA211X1H7L
       23    57.96   AOA211X1P4H7L
        1     3.36   AOA211X4H7L
      192   376.32   AOAI211X0P5H7L
        2     3.92   AOAI211X0P7H7L
        2     3.92   AOAI211X1H7L
        7    13.72   AOAI211X1P4H7L
        1     2.52   AOAI211X2H7L
        1      4.2   AOAI211X4H7L
      161   315.56   AOI211X0P5H7L
        1     1.96   AOI211X0P7H7L
        3     5.88   AOI211X1H7L
       15     29.4   AOI211X1P4H7L
        1     2.52   AOI211X2H7L
        3    10.08   AOI211X3H7L
        1      4.2   AOI211X4H7L
        1     6.44   AOI211X6H7L
       19    42.56   AOI21BX0P5H7L
        1     2.24   AOI21BX2H7L
        2      5.6   AOI21BX3H7L
      310      434   AOI21X0P5H7L
        1      1.4   AOI21X0P7H7L
       10       14   AOI21X1H7L
       13     18.2   AOI21X1P4H7L
        3     5.88   AOI21X2H7L
        1     3.64   AOI21X4H7L
      103   259.56   AOI221X0P5H7L
        1     2.52   AOI221X0P7H7L
        1     2.52   AOI221X1H7L
       16    40.32   AOI221X1P4H7L
        2     6.16   AOI221X2H7L
       94   289.52   AOI222X0P5H7L
        4    12.32   AOI222X1P4H7L
        1     3.64   AOI222X2H7L
        1     5.04   AOI222X3H7L
       99   194.04   AOI22X0P5H7L
        1     1.96   AOI22X0P7H7L
        3     5.88   AOI22X1H7L
        6    11.76   AOI22X1P4H7L
       50       98   AOI2BB1X0P5H7L
        2     3.92   AOI2BB1X1H7L
        1     1.96   AOI2BB1X1P4H7L
       16    40.32   AOI2BB2X0P5H7L
        1     2.52   AOI2BB2X0P7H7L
        1     2.52   AOI2BB2X1P4H7L
        8    17.92   AOI2XB1X0P5H7L
        1      4.2   AOI2XB1X4H7L
       62   121.52   AOI31X0P5H7L
        1     1.96   AOI31X0P7H7L
        2     3.92   AOI31X1H7L
        2     3.92   AOI31X1P4H7L
        1      4.2   AOI31X4H7L
       23    51.52   AOI32X0P5H7L
        5     11.2   AOI32X1P4H7L
        1      2.8   AOI32X2H7L
        1     4.76   AOI32X3H7L
        2    10.64   AOI32X4H7L
        1     2.52   AOI33X0P5H7L
        1     2.52   AOI33X1H7L
        4    10.08   AOI33X1P4H7L
        8     8.96   BUFX0P5H7L
        8    29.12   BUFX10H7L
        3    11.76   BUFX12H7L
        4    20.16   BUFX16H7L
        4     4.48   BUFX1H7L
       80     89.6   BUFX1P4H7L
       82    114.8   BUFX3H7L
       42    70.56   BUFX3P5H7L
       58   113.68   BUFX5H7L
       53   133.56   BUFX7H7L
        6     16.8   BUFX8H7L
     1355   8346.8   DFFQX1H7L
       41   252.56   ICGX0P5H7L
       97    81.48   INVX0P5H7L
        2     1.68   INVX1P4H7L
      291    814.8   MUX2X0P5H7L
        1      2.8   MUX2X1H7L
       14     39.2   MUX2X1P4H7L
        1     3.64   MUX2X3H7L
        1     3.92   MUX2X4H7L
       43   276.92   MUX4X1P4H7L
        1        7   MUX4X3H7L
       42   129.36   MUXI2X0P5H7L
        1     3.08   MUXI2X0P7H7L
        1     3.08   MUXI2X1P4H7L
       70       98   NAND2BX0P5H7L
        2      2.8   NAND2BX1H7L
        2      2.8   NAND2BX1P4H7L
        1     2.24   NAND2BX3H7L
      487   545.44   NAND2X0P5H7L
        3     3.36   NAND2X0P7H7L
       35     39.2   NAND2X1H7L
       19    21.28   NAND2X1P4H7L
        3     5.88   NAND2X3H7L
        4    12.32   NAND2X6H7L
        2     5.04   NAND3BBX0P5H7L
        1     3.08   NAND3BBX6H7L
       30     58.8   NAND3BX0P5H7L
        3     5.88   NAND3BX1P4H7L
        2     3.92   NAND3BX2H7L
        2     6.72   NAND3BX3H7L
      149    208.6   NAND3X0P5H7L
        2      2.8   NAND3X0P7H7L
        2      2.8   NAND3X1H7L
        9     12.6   NAND3X1P4H7L
        5       14   NAND3X3H7L
        2      5.6   NAND4BBX0P5H7L
        1      2.8   NAND4BBX1P4H7L
        1      2.8   NAND4BBX2H7L
        1     5.04   NAND4BBX4H7L
        6    13.44   NAND4BX0P5H7L
        1      4.2   NAND4BX3H7L
        1     4.48   NAND4BX4H7L
        1      5.6   NAND4BX6H7L
       45     88.2   NAND4X0P5H7L
        1     1.96   NAND4X1H7L
       10     19.6   NAND4X1P4H7L
        1     2.24   NAND4X2H7L
        1      4.2   NAND4X4H7L
      189    264.6   NOR2BX1H7L
      388    543.2   NOR2BX1P4H7L
        1     1.68   NOR2BX2H7L
        1     2.52   NOR2BX3H7L
        1     3.08   NOR2BX4H7L
     1036  1160.32   NOR2X0P5H7L
        1     1.12   NOR2X0P7H7L
        4     4.48   NOR2X1H7L
       57    63.84   NOR2X1P4H7L
        5      9.8   NOR2X3H7L
        1     3.36   NOR2X4H7L
        2     6.72   NOR2X6H7L
       12    23.52   NOR3BX0P5H7L
        4     7.84   NOR3BX1P4H7L
        1     3.36   NOR3BX3H7L
        1     4.76   NOR3BX6H7L
      155      217   NOR3X0P5H7L
        1      1.4   NOR3X0P7H7L
        3      4.2   NOR3X1H7L
       12     16.8   NOR3X1P4H7L
        3      8.4   NOR3X3H7L
        1      4.2   NOR3X6H7L
        3      8.4   NOR4BBX0P5H7L
        1      2.8   NOR4BBX2H7L
        3    15.96   NOR4BBX4H7L
        7    15.68   NOR4BX0P5H7L
        1     2.24   NOR4BX0P7H7L
        1     2.24   NOR4BX1H7L
        3     6.72   NOR4BX1P4H7L
        1     5.04   NOR4BX4H7L
       24    47.04   NOR4X0P5H7L
        5      9.8   NOR4X1H7L
        7    13.72   NOR4X1P4H7L
        2     5.04   NOR4X2H7L
        2     7.28   NOR4X3H7L
        1     2.52   OA211X0P5H7L
        5     12.6   OA211X0P7H7L
        9    22.68   OA211X1P4H7L
        3     9.24   OA211X4H7L
        1     2.24   OA21X0P5H7L
       20     44.8   OA21X0P7H7L
        1     2.24   OA21X1H7L
        1     2.24   OA21X1P4H7L
       68    190.4   OA221X0P5H7L
        1      2.8   OA221X1P4H7L
       18    60.48   OA222X1H7L
       25       63   OA22X0P5H7L
        3     7.56   OA22X1P4H7L
       20     44.8   OA31X1H7L
        2     4.48   OA31X1P4H7L
        1     2.52   OA31X3H7L
        1      2.8   OA31X4H7L
      149   250.32   OAI211X0P7H7L
       25       42   OAI211X1H7L
       76   127.68   OAI211X1P4H7L
        1     2.52   OAI211X2H7L
        3     6.72   OAI21BX0P5H7L
      294    411.6   OAI21X0P5H7L
        1      1.4   OAI21X0P7H7L
        6      8.4   OAI21X1H7L
       15       21   OAI21X1P4H7L
        1     2.24   OAI21X2H7L
       91   229.32   OAI221X0P5H7L
        1     2.52   OAI221X1H7L
        6    15.12   OAI221X1P4H7L
        1     5.32   OAI221X4H7L
       27    83.16   OAI222X0P5H7L
        1     3.08   OAI222X1H7L
        1     3.08   OAI222X1P4H7L
       88   172.48   OAI22X0P5H7L
        1     1.96   OAI22X0P7H7L
        3     5.88   OAI22X1H7L
        4     7.84   OAI22X1P4H7L
        1     2.52   OAI22X2H7L
        1     3.64   OAI22X3H7L
       56   109.76   OAI2BB1X0P5H7L
        1     1.96   OAI2BB1X0P7H7L
        3     5.88   OAI2BB1X1P4H7L
        3     7.56   OAI2BB2X0P5H7L
        2     5.04   OAI2BB2X1P4H7L
        4     8.96   OAI2XB1X0P5H7L
       35     68.6   OAI31X0P5H7L
        4     7.84   OAI31X1H7L
        4     7.84   OAI31X1P4H7L
        2     5.04   OAI31X2H7L
        3    10.08   OAI31X3H7L
       19    42.56   OAI32X0P5H7L
        1     2.24   OAI32X1H7L
        5     11.2   OAI32X1P4H7L
        2     5.04   OAI33X0P7H7L
        1     3.08   OAI33X2H7L
        1     5.32   OAI33X3H7L
        7     19.6   OAO211X0P5H7L
        1      2.8   OAO211X0P7H7L
        1      2.8   OAO211X2H7L
        2     6.16   OAO211X3H7L
       95    212.8   OAOI211X0P5H7L
        2     4.48   OAOI211X0P7H7L
        4     8.96   OAOI211X1H7L
        4     8.96   OAOI211X1P4H7L
        2     5.04   OAOI211X2H7L
        2     7.28   OAOI211X3H7L
       26    109.2   OAOI211X4H7L
       17     23.8   OR2X0P5H7L
       37     51.8   OR2X1P4H7L
        2     3.92   OR2X3H7L
       13    25.48   OR3X1H7L
       13    29.12   OR4X1P4H7L
       98    274.4   XNOR2X0P5H7L
        1      2.8   XNOR2X1H7L
        2      5.6   XNOR2X1P4H7L
       68    190.4   XOR2X0P5H7L
        1      2.8   XOR2X1H7L

   Chip area for module '\ysyx_26020046_rv32i': 20633.200000
     of which used for sequential elements: 8346.800000 (40.45%)

