
25. Printing statistics.

=== ysyx_26020046_rv32iLSU ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
      815        - wires
      815        - wire bits
      815        - public wires
      815        - public wire bits
      625        - ports
      625        - port bits
      327   768.04 cells
       98   164.64   AND2X1H7L
        1     1.68   AND2X1P4H7L
        1     1.96   AND3X1P4H7L
        1     2.52   AO211X1P4H7L
        8    24.64   AO221X1H7L
        8    20.16   AO22X0P7H7L
        1      2.8   AO22X3H7L
       17    33.32   AOAI211X0P5H7L
        8    15.68   AOI211X0P5H7L
       24    80.64   AOI211X3H7L
        3      4.2   AOI21X0P5H7L
        2      2.8   AOI21X1P4H7L
        1     6.44   AOI222X4H7L
        2     3.92   AOI22X0P5H7L
        1     1.96   AOI2BB1X0P5H7L
        1     3.08   AOI2BB1X4H7L
        2     7.28   BUFX10H7L
        1     1.12   BUFX1P4H7L
        1     6.16   BUFX20H7L
        4      5.6   BUFX3H7L
        1     1.68   BUFX3P5H7L
        1     1.96   BUFX5H7L
        3     7.56   BUFX7H7L
       38   234.08   DFFQX1H7L
        2    12.32   ICGX0P5H7L
       34    28.56   INVX0P5H7L
        1     0.84   INVX1P4H7L
       37    41.44   NAND2X0P5H7L
        1     3.08   NAND2X6H7L
        1      1.4   NAND3X0P7H7L
        5        7   NOR2BX1H7L
        3      4.2   NOR2BX1P4H7L
        3     3.36   NOR2X0P5H7L
        1     3.92   NOR2X8H7L
        1     3.36   NOR3BX3H7L
        1      4.2   NOR4BX3H7L
        1     2.24   OA31X1H7L
        2      2.8   OAI21X0P5H7L
        1     3.36   OAI21X4H7L
        1     1.96   OAI31X0P5H7L
        1     2.52   OAI31X2H7L
        2      2.8   OR2X1P4H7L
        1      2.8   XNOR2X0P5H7L

   Chip area for module '\ysyx_26020046_rv32iLSU': 768.040000
     of which used for sequential elements: 234.080000 (30.48%)

