
25. Printing statistics.

=== ysyx_26020046_rv32iOneHotNsta ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
     7401        - wires
     7401        - wire bits
     7401        - public wires
     7401        - public wire bits
      169        - ports
      169        - port bits
     7332  20871.2 cells
       50       84   AND2X1H7L
        5      9.8   AND3X0P5H7L
        4     7.84   AND3X1H7L
       22    43.12   AND3X1P4H7L
        1     2.24   AND3X3H7L
        1     4.48   AND3X8H7L
       25       56   AND4X0P5H7L
        7    15.68   AND4X1P4H7L
        1     2.52   AND4X3H7L
        2     5.04   AO211X0P7H7L
        5     12.6   AO211X1H7L
       10     25.2   AO211X1P4H7L
       13    29.12   AO21X1H7L
        8    24.64   AO221X0P5H7L
        1     3.08   AO221X1H7L
        1     3.36   AO221X3H7L
        4    13.44   AO222X0P5H7L
        1     3.36   AO222X1P4H7L
       30     75.6   AO22X0P7H7L
        1     2.52   AO22X1H7L
        2      5.6   AO22X3H7L
        8    20.16   AO31X0P5H7L
        2     5.04   AO31X1P4H7L
        4    10.08   AOA211X0P5H7L
        6    15.12   AOA211X1H7L
       33    83.16   AOA211X1P4H7L
      130    254.8   AOAI211X0P5H7L
        2     3.92   AOAI211X0P7H7L
        4     7.84   AOAI211X1H7L
       19    37.24   AOAI211X1P4H7L
        1      4.2   AOAI211X4H7L
      117   229.32   AOI211X0P5H7L
        1     1.96   AOI211X1H7L
       15     29.4   AOI211X1P4H7L
        4    10.08   AOI211X2H7L
        2     6.72   AOI211X3H7L
        7    15.68   AOI21BX0P5H7L
        1     2.24   AOI21BX0P7H7L
        1     2.24   AOI21BX2H7L
        1     3.08   AOI21BX4H7L
      236    330.4   AOI21X0P5H7L
        1      1.4   AOI21X0P7H7L
        2      2.8   AOI21X1H7L
       11     15.4   AOI21X1P4H7L
        3     5.88   AOI21X2H7L
        1     3.64   AOI21X4H7L
        1     4.48   AOI21X6H7L
       51   128.52   AOI221X0P5H7L
        4    10.08   AOI221X0P7H7L
        1     2.52   AOI221X1H7L
        9    22.68   AOI221X1P4H7L
        1     3.08   AOI221X2H7L
        7    31.36   AOI221X3H7L
        3     16.8   AOI221X4H7L
       16    49.28   AOI222X0P5H7L
        1     3.08   AOI222X0P7H7L
        5     15.4   AOI222X1P4H7L
      106   207.76   AOI22X0P5H7L
        1     1.96   AOI22X0P7H7L
        4     7.84   AOI22X1H7L
       13    25.48   AOI22X1P4H7L
        1     3.36   AOI22X3H7L
       36    70.56   AOI2BB1X0P5H7L
        3     5.88   AOI2BB1X1H7L
        1     1.96   AOI2BB1X1P4H7L
        2     4.48   AOI2BB1X2H7L
       13    32.76   AOI2BB2X0P5H7L
        2     5.04   AOI2BB2X1P4H7L
        4     8.96   AOI2XB1X0P5H7L
        1      2.8   AOI2XB1X2H7L
        1     3.64   AOI2XB1X3H7L
        1      4.2   AOI2XB1X4H7L
       28    54.88   AOI31X0P5H7L
        1     1.96   AOI31X1H7L
        3     5.88   AOI31X1P4H7L
        1     3.64   AOI31X3H7L
        1      4.2   AOI31X4H7L
       32    71.68   AOI32X0P5H7L
        1     2.24   AOI32X0P7H7L
        3     6.72   AOI32X1P4H7L
        1     2.52   AOI33X0P5H7L
        7     7.84   BUFX0P5H7L
        7    25.48   BUFX10H7L
       15     58.8   BUFX12H7L
       37   186.48   BUFX16H7L
       47    52.64   BUFX1P4H7L
